"rk","name","area","pts","w_l"
1,"Gen.G","LCK",1663,"43-3"
2,"BILIBILI GAMING DREAMSMART","LPL",1602,"36-5"
3,"Hanwha Life Esports","LCK",1572,"34-10"
4,"TOP ESPORTS","LPL",1508,"32-11"
5,"G2 Esports","LEC",1480,"38-11"
6,"T1","LCK",1467,"36-17"
7,"Dplus Kia","LCK",1445,"25-18"
8,"Beijing JDG Intel Esports","LPL",1440,"26-11"
9,"kt Rolster","LCK",1410,"21-19"
10,"Suzhou LNG Ninebot Esports","LPL",1407,"20-14"
11,"WeiboGaming TapTap","LPL",1391,"22-20"
12,"Shenzhen NINJAS IN PYJAMAS","LPL",1376,"20-21"
13,"Fnatic","LEC",1374,"30-19"
14,"Team Liquid Honda","LCS",1371,"21-11"
15,"Anyone's Legend","LPL",1352,"17-17"
16,"FlyQuest","LCS",1351,"22-10"
17,"Team BDS","LEC",1346,"28-15"
18,"FunPlus Phoenix","LPL",1320,"18-15"
19,"PSG Talon","PCS",1311,"25-7"
20,"Xi'an Team WE","LPL",1310,"13-18"
21,"Kwangdong Freecs","LCK",1309,"14-23"
22,"Cloud9","LCS",1308,"15-11"
23,"LGD GAMING","LPL",1307,"13-19"
24,"Oh My God","LPL",1299,"14-17"
25,"BNK FearX","LCK",1298,"14-24"
26,"THUNDER TALK GAMING","LPL",1292,"13-18"
27,"MAD Lions KOI","LEC",1290,"19-24"
28,"Invictus Gaming","LPL",1273,"14-19"
29,"SHANGHAI EDWARD GAMING HYCAN","LPL",1268,"8-21"
30,"NongShim REDFORCE","LCK",1266,"9-27"
31,"Karmine Corp","LEC",1262,"10-21"
32,"RARE ATOM","LPL",1260,"12-18"
33,"SK Gaming","LEC",1256,"19-18"
34,"100 Thieves","LCS",1254,"17-12"
35,"Team Vitality","LEC",1248,"15-20"
36,"Royal Never Give Up","LPL",1244,"7-22"
37,"GAM Esports","VCS",1239,"26-8"
38,"NRG Kia","LCS",1237,"8-17"
39,"Team Heretics","LEC",1232,"14-20"
40,"GIANTX","LEC",1230,"12-23"
41,"DRX","LCK",1217,"7-29"
43,"Ultra Prime","LPL",1209,"7-24"
44,"Dignitas","LCS",1207,"11-15"
45,"Rogue","LEC",1206,"7-22"
46,"CTBC Flying Oyster","PCS",1186,"18-10"
47,"OKSavingsBank BRION","LCK",1185,"5-31"
48,"Vikings Esports","VCS",1181,"22-9"
50,"Movistar R7","LLA",1172,"19-10"
51,"Immortals Progressive","LCS",1163,"5-16"
52,"paiN Gaming","CBLOL",1157,"31-13"
53,"Fukuoka SoftBank HAWKS gaming","PCS",1150,"5-4"
54,"Deep Cross Gaming","PCS",1144,"16-13"
55,"LOUD","CBLOL",1140,"27-18"
56,"Estral Esports","LLA",1135,"17-13"
57,"Team Secret","VCS",1133,"19-10"
58,"TEAM WHALES","VCS",1127,"14-16"
59,"RED Kalunga","CBLOL",1124,"27-17"
60,"Ground Zero","PCS",1123,"3-4"
61,"Sengoku Gaming","PCS",1122,"0-2"
62,"Vivo Keyd Stars","CBLOL",1116,"32-12"
63,"J Team","PCS",1114,"10-15"
64,"DetonatioN FocusMe","PCS",1103,"4-4"
65,"Isurus","LLA",1098,"15-13"
66,"Team Bliss","PCS",1092,"1-2"
67,"CERBERUS ESPORTS","VCS",1076,"7-17"
68,"FURIA","CBLOL",1073,"16-25"
69,"Team Flash","VCS",1068,"8-17"
70,"INFINITY","LLA",1067,"7-20"
71,"Fluxo","CBLOL",1064,"16-23"
72,"Hell Pigs","PCS",1060,"3-16"
73,"MGN Blue Esports","VCS",1052,"8-16"
74,"INTZ","CBLOL",1050,"11-25"
76,"LOS","CBLOL",1044,"11-27"
77,"KaBuM!","CBLOL",1041,"19-20"
79,"Six Karma","LLA",1021,"3-20"
80,"Liberty","CBLOL",1020,"12-24"
